iter	locus	logLik
0	0	-4.67791
0	1	-22.0274
0	2	-4.1031
0	3	-5.67622
0	4	-64.8743
0	5	-6.44847
0	6	-5.41472
0	7	-5.09058
0	8	-3.16936
0	9	-5.23246
1	0	-4.19109
1	1	-14.5338
1	2	-4.64997
1	3	-5.31918
1	4	-50.4666
1	5	-7.23619
1	6	-4.20471
1	7	-3.32666
1	8	-5.9893
1	9	-5.9212
2	0	-7.22775
2	1	-11.0667
2	2	-5.70016
2	3	-6.05167
2	4	-42.3526
2	5	-6.3312
2	6	-3.31324
2	7	-2.93805
2	8	-5.07794
2	9	-6.4308
3	0	-8.0075
3	1	-4.40886
3	2	-5.45121
3	3	-5.5705
3	4	-31.758
3	5	-6.20402
3	6	-2.22612
3	7	-4.00004
3	8	-4.53855
3	9	-4.32623
4	0	-8.37505
4	1	-4.01853
4	2	-5.01204
4	3	-6.61526
4	4	-27.9324
4	5	-7.30226
4	6	-3.06641
4	7	-3.84095
4	8	-4.09257
4	9	-4.22156
5	0	-7.73807
5	1	-4.38803
5	2	-5.50636
5	3	-8.87322
5	4	-20.1352
5	5	-7.21435
5	6	-2.11546
5	7	-4.95137
5	8	-4.37648
5	9	-4.00641
6	0	-5.1191
6	1	-5.00842
6	2	-5.50636
6	3	-7.74932
6	4	-7.39976
6	5	-7.38494
6	6	-3.28671
6	7	-4.42341
6	8	-7.30312
6	9	-5.78642
7	0	-4.60987
7	1	-5.11927
7	2	-7.67619
7	3	-5.31811
7	4	-6.21458
7	5	-6.58963
7	6	-3.87951
7	7	-4.21098
7	8	-5.92945
7	9	-6.31143
8	0	-4.24401
8	1	-9.63718
8	2	-7.4639
8	3	-5.54258
8	4	-2.94426
8	5	-6.58192
8	6	-5.31406
8	7	-5.91545
8	8	-5.32038
8	9	-3.72131
9	0	-3.94219
9	1	-4.197
9	2	-5.17118
9	3	-7.15539
9	4	-3.52352
9	5	-6.806
9	6	-6.63394
9	7	-4.34356
9	8	-3.2888
9	9	-4.59881
10	0	-4.82989
10	1	-5.00305
10	2	-4.63557
10	3	-7.82187
10	4	-6.03253
10	5	-7.52503
10	6	-3.97051
10	7	-4.71238
10	8	-2.44804
10	9	-5.20014
11	0	-4.13423
11	1	-4.89513
11	2	-5.2541
11	3	-5.67302
11	4	-3.4557
11	5	-6.58026
11	6	-3.51673
11	7	-6.29381
11	8	-3.0456
11	9	-3.68099
12	0	-4.47933
12	1	-4.42771
12	2	-4.48734
12	3	-7.18627
12	4	-3.71811
12	5	-7.94722
12	6	-7.8999
12	7	-6.24679
12	8	-2.6175
12	9	-4.03459
13	0	-6.1033
13	1	-4.6517
13	2	-5.47231
13	3	-7.09936
13	4	-2.68953
13	5	-7.90568
13	6	-4.29774
13	7	-4.29344
13	8	-2.64269
13	9	-4.17465
14	0	-6.68123
14	1	-4.67488
14	2	-7.07605
14	3	-5.29594
14	4	-1.5763
14	5	-9.13624
14	6	-2.8451
14	7	-4.04602
14	8	-2.74586
14	9	-8.149
15	0	-5.46084
15	1	-5.69076
15	2	-4.44785
15	3	-6.96848
15	4	-1.53279
15	5	-6.58049
15	6	-3.06641
15	7	-4.04602
15	8	-2.62979
15	9	-6.39773
16	0	-7.34985
16	1	-4.62626
16	2	-5.54583
16	3	-6.89826
16	4	-2.22902
16	5	-7.95099
16	6	-2.28191
16	7	-3.04546
16	8	-2.67438
16	9	-5.41242
17	0	-4.14482
17	1	-7.92556
17	2	-6.64939
17	3	-7.92142
17	4	-3.28584
17	5	-6.26172
17	6	-2.28191
17	7	-3.01487
17	8	-3.24345
17	9	-5.05108
18	0	-6.08576
18	1	-6.34467
18	2	-7.79432
18	3	-6.63734
18	4	-4.44257
18	5	-6.07367
18	6	-2.61309
18	7	-2.09293
18	8	-3.53657
18	9	-4.44448
19	0	-5.1231
19	1	-3.63792
19	2	-8.50172
19	3	-7.69762
19	4	-5.80475
19	5	-7.36412
19	6	-2.10969
19	7	-2.19803
