iter	locus	treeID
0	0	0
0	1	1
0	2	2
0	3	0
0	4	1
0	5	0
0	6	2
0	7	0
0	8	3
0	9	0
1	0	0
1	1	1
1	2	2
1	3	2
1	4	1
1	5	2
1	6	2
1	7	0
1	8	3
1	9	0
2	0	2
2	1	3
2	2	2
2	3	0
2	4	3
2	5	0
2	6	0
2	7	0
2	8	3
2	9	0
3	0	0
3	1	3
3	2	2
3	3	0
3	4	1
3	5	0
3	6	0
3	7	0
3	8	3
3	9	0
4	0	0
4	1	1
4	2	2
4	3	2
4	4	3
4	5	0
4	6	0
4	7	0
4	8	3
4	9	0
5	0	2
5	1	1
5	2	2
5	3	0
5	4	1
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
6	0	0
6	1	1
6	2	2
6	3	0
6	4	4
6	5	0
6	6	2
6	7	0
6	8	3
6	9	0
7	0	0
7	1	1
7	2	4
7	3	2
7	4	3
7	5	0
7	6	0
7	7	2
7	8	3
7	9	0
8	0	0
8	1	3
8	2	4
8	3	2
8	4	5
8	5	0
8	6	2
8	7	2
8	8	3
8	9	0
9	0	0
9	1	3
9	2	2
9	3	0
9	4	5
9	5	0
9	6	2
9	7	2
9	8	2
9	9	0
10	0	0
10	1	3
10	2	2
10	3	0
10	4	1
10	5	0
10	6	2
10	7	2
10	8	2
10	9	2
11	0	0
11	1	3
11	2	2
11	3	2
11	4	3
11	5	0
11	6	0
11	7	2
11	8	2
11	9	0
12	0	0
12	1	1
12	2	2
12	3	2
12	4	2
12	5	0
12	6	2
12	7	2
12	8	2
12	9	0
13	0	2
13	1	1
13	2	2
13	3	0
13	4	1
13	5	2
13	6	2
13	7	2
13	8	2
13	9	0
14	0	2
14	1	1
14	2	2
14	3	0
14	4	1
14	5	0
14	6	2
14	7	0
14	8	0
14	9	0
15	0	0
15	1	1
15	2	2
15	3	2
15	4	1
15	5	0
15	6	2
15	7	0
15	8	0
15	9	0
16	0	0
16	1	1
16	2	2
16	3	2
16	4	1
16	5	0
16	6	2
16	7	2
16	8	0
16	9	2
17	0	0
17	1	3
17	2	0
17	3	2
17	4	1
17	5	0
17	6	2
17	7	0
17	8	3
17	9	2
18	0	2
18	1	1
18	2	2
18	3	0
18	4	6
