iter	locus	ct0	ct1	ct2
0	0	0.00762789864	0.328155529	0.3752832826
0	1	0.1093686333	0.2001503072	0.5370959473
0	2	0.2159276744	0.2501823098	0.2627143394
0	3	0.1486474987	0.255876261	0.3240475618
0	4	0.04387150716	0.2419902291	0.3466614249
0	5	0.04804565886	0.2147354285	0.3179293367
0	6	0.06182007197	0.5121848706	0.6533840115
0	7	0.1928769441	0.3547803424	0.5719431153
0	8	0.1575039338	0.1927932337	0.3780538353
0	9	0.1668247054	0.303986983	0.4597859623
1	0	0.00762789864	0.328155529	0.3752832826
1	1	0.09320601256	0.5370959473	0.5556185395
1	2	0.04490367395	0.1575560287	0.2307588536
1	3	0.1486474987	0.1619964942	0.2575785983
1	4	0.03187079282	0.2345873667	0.3466614249
1	5	0.1231579347	0.3283763359	0.3806767623
1	6	0.06182007197	0.2654885073	0.4492634097
1	7	0.1223729308	0.3547803424	0.394982216
1	8	0.2740407671	0.3029622925	0.3425982383
1	9	0.1764748963	0.2203291176	0.303986983
